,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
10,Tino1999,iphone 12 128gb,Splitsko-dalmatinska,rabljeno,400,prodajem iphone 12 128gb u odlicnom stanju. nema tragova koristenja i maksimalno je ocuvan. od prvog dana ima maskicu i zastitno staklo. na mobitel nikada nije instalirana nijedna igrica vec je sluzio samo za pozive i poruke. baterija je na 87%. zvati iskljucivo na broj telefona.,42021405,23.11.2023.,42
11,Zalagaonica sesvete,iphone 12 64 gb u trgovini,Grad Zagreb,rabljeno,349,u dobrom stanju iphone 12 64 gb boja black baterija 86 % mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionica,42054497,23.11.2023.,151
12,Alpha servis,apple iphone 12 64gb rabljeno rate zamjena 2040,Osječko-baranjska,rabljeno,430,uredjaj apple iphone 12 64gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 84% mreze slobodan uredjaj cijena za gotovinu 430 00 cijena za kartice 480 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste pbz zagrebacka i american express do 12 rata te diners do 36 rata . u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37703592,23.11.2023.,1548
13,Alpha servis,apple iphone 12 128gb rabljeno rate zamjena 1982,Osječko-baranjska,rabljeno,450,uredjaj apple iphone 12 128gb stanje uredjaja rabljeno jamstvo na uredjaj jamstvo tri mjeseca originalni datum kupnje pisana garancija uz svaki uredjaj zdravlje baterije 86% mreze slobodan uredjaj cijena za gotovinu 450 00 cijena za kartice 500 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija alpha servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama pbz erste zagrebacke i american express banke do 12 rata te diners do 36 rata. u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,37134895,23.11.2023.,978
14,iconnectservis,apple iphone 12 64gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,379,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj iphone 12 64gb jamstvo na uredjaj jamstvo 3 mjeseca stanje uredjaja rabljeno zdravlje baterije 85% boja crni mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 379 00 cijena za kartice na rate 430 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,42009197,23.11.2023.,135
15,Zalagaonica sesvete,iphone 12 64 gb u trgovini,Grad Zagreb,rabljeno,289,iphone 12 u super stanju 64 gb boja white baterija 79 % mogucnost izdavanja r1 racuna nalazimo se u sesvetama na adresi bjelovarska 29 radno vrijeme pon pet 09 20 sati subota 09 15 sati mogucnost slanja hp expressom po cijeloj hr pogledajte nase ostale oglase kupionica,41750184,23.11.2023.,1808
16,novosel00,iphone 12,Grad Zagreb,rabljeno,350,u super stanju ispravan.,41997653,23.11.2023.,408
17,eltrondd,iphone 12 red 64gb bat. 100% rac garan sve mreze dostava,Grad Zagreb,rabljeno,350,iphone 12 crveni 64gb mobitel doslovce ko novi zastita na ekranu plus maska racun i garancija baterija 100% tvornicki odklj na sve mreze dolazi za brzim punjacem moguca dostava 0996707567,38785225,23.11.2023.,1806
18,cocka13,iphone 12 64gb plavi,Grad Zagreb,rabljeno,400,prodajem ocuvan iphone12 64gb plavi. bez ostecenja i potpuno funkcionalan bez poteskoca u radu ios zadnja verzija 86% baterije . kupljen kao slobodan telefon u istyle trgovini s pripadajucim racunom i kabelom. koristen kao privatan telefon. sigurna kupnja. u obzir dolazi samo prodaja bez zamjene. ne saljem postom. sve informacije na 099 6927 326,41773757,23.11.2023.,257
19,nina2802,iphone 12 64gb crni kao nov ,Splitsko-dalmatinska,rabljeno,330,prodajem iphone 12 64gb crni. mobitel je star 2 godine i 2 mjeseca. mobitel je u vrhunskom stanju 10 10 mobitel je 100% ocuvan od prvog do zadnjeg dana je imao maskicu i kaljeno staklo ekran je bez i jedne najmanje crtice. baterija na 88%. sve radi bez ikakve greske. mobitel se prodaje radi kupnje novog modela. uz mobitel ide original kutija sa kabelom za punjenje i racunom takodjer se uz mobitel dobije jedna prozirna maskica. mogucnost slanja i placanja poduzecem.,42046054,22.11.2023.,218
20,zmeketina,iphone 12 256gb top stanje i cijena,Zagrebačka,rabljeno,320,otkljucan na sve mreze bez ostecenja bio stalno u zastitnoj masci sa staklom baterija na 89%,42009043,22.11.2023.,301
21,123535,iphone,Zadarska,rabljeno,640,prodajem navedeni uredjaj koristen svega tri mjeseca kao nov bez ogrebotine,41361402,22.11.2023.,210
22,Nikolapoljak123,iphone 12 128gb,Međimurska,rabljeno,350,prodajem iphone 12 128gb crne boje mob u odlicnom stanju. nema mana. baterija 78%. info poruke ili poziv 099 823 4580,42085856,22.11.2023.,39
23,Rocky79,iphone 12 64gb crni nova originalna baterija i ekran,Grad Zagreb,rabljeno,350,na prodaju iphone 12 64gb crne boje prije cca godinu dana zamjenjen ekran medjutim nije se koristio nakon servisa u medjuvremenu se od nekoristenja pokvarila baterija tako da je sada i ona zamjenjena telefon je u dobrom stanju svi servisi su odradjeni u ovlastenom istyle apple servisu.,41801081,22.11.2023.,1312
24,Lovrozvornik,iphone 12 64 gb,Međimurska,rabljeno,350,prodajem navedeni mobitel u izvrsnom stanju od prvoga dana u maskici i sa kaljenim staklom. zdravlje baterije 86%.,42085041,22.11.2023.,42
25,ZGpepo,iphone 12 64gb black,Grad Zagreb,rabljeno,290,prodajem apple iphone 12 64gb crne boje otkljucan na sve mreze. dolazi sa svojom kutijom i racunom. mobitel je u stanju novoga. zdravlje baterije je na 81%. cijena 290 091 520 5606,42084969,22.11.2023.,98
26,donn,iphone 12 red 128gb,Koprivničko-križevačka,rabljeno,370,mobitel je u izvrsnom stanju nema ogrebotina. kaljeno je na ekranu i ima tpu maskicu. zdravlje baterije 77 posto i jos dobro drzi kapacitet cijeli dan bez problema cijena fiksna osobno preuzimanje,41412107,22.11.2023.,538
27,cammari,iphone 12,Grad Zagreb,rabljeno,360,iphone 12 64gb bijeli mobitel je u odlicnom stanju bez tragova koristenja i sve ispravno radi na njemu. otkljucan je i radi na sve mreze. zdravlje baterije je 87%. uz mobitel ide original kutija i kablo od punjaca. poziv whatup njuskalo poruke,42077517,22.11.2023.,59
28,ElektronikOutlet,apple iphone 12 99% zdravlje nova maskica 3d zastititno ka,Grad Zagreb,rabljeno,190,apple iphone 12 64gb nova maskica originalna oprema kutija i sve ostalo apple fast charger 3d zastitno kaljeno staklo odlicno stanje samo me rade mobilne mreze i osteceno staklo sto se u servisu moze popraviti ali ostalo perfektno funcionira tvornicki otkljucan na sve mreze zdravlje baterije 99% redovita cijena 799 snizena cijena 190 tel. 095 5197219 moguce preuzimanje u zagrebu ili slanje postom pouzecem na trosak primatelja.,42044573,22.11.2023.,353
29,ppopic,prodajem iphone 12 256 gb red,Primorsko-goranska,rabljeno,450,prodajem iphone 12 256 gb red kupljen u ht 2021 godine otkljucan za sve mreze. telefon je u odlicnom stanju. uz telefon ide kabel za punjenje i kutija baterija 82%,42072377,22.11.2023.,25
30,CURKE,iphone 12 white 64gb,Grad Zagreb,rabljeno,360,prodajem apple iphone 12 64gb odlicno ocuvan bez ijedne ogrebotine.ide u orginalnoj ambalazi stanje uredjaja je 10 10 mobitel je star 18 mjeseci stanje baterije 86%.za sve ostale informacije zvati na broj tel.091 518 0996.,41871658,22.11.2023.,1046
31,dorpo0606,prodajem iphone 12,Grad Zagreb,rabljeno,450,prodajem gore navedeni mobitel iphone 12 mobitel ocuvan bez crtice bez padova koristen godinu i pol uz mobitel dolazi maskica zastitna i punjac cijena 450 mogucnost dostave zagreb ogulin jastrebarsko zvati na broj 099 694 4884,41883897,21.11.2023.,805
32,Vranic3,iphone 12 64gb,Osječko-baranjska,rabljeno,350,prodajem iphone 12 star godinu i pol dana mobitel je u super stanju baterija je zamjenjena prije 3 mjeseca stvarno ocuvana kao i sam mobitel od prvog dana je u maskici i ima zastitno staklo uz njega ide kutija i punjac za dodatne inf javite se u inbox moguca je primopredaja u osijeku,42067985,21.11.2023.,48
33,Anamarija_123,iphone 12 128 gb kabel za punjenje,Šibensko-kninska,rabljeno,340,prodajem iphone 12 128 gb star 2 godine. nema ogrebotina. zdravlje baterije 81% brzo puni. dobijete kabel za punjenje i maskicu.,42067218,21.11.2023.,39
34,photo360,iphone 12. 256gb,Grad Zagreb,rabljeno,380,prodajem iphone 12 u dobrom stanju ima nekoliko sitnih ogrebotina. sa originalnom kutijom i punjacem baterija na 86%,41611844,21.11.2023.,1370
35,Tu_Za_Vas,apple iphone 12 64gb red crveni kao novoo garancija 64 gb,Dubrovačko-neretvanska,rabljeno,620,moguca i zamjena za drugi uredjaj uz nadoplatu.. prodaje se apple iphone 12 64gb 64 gb red crvena boja crveni .. mobitel je kratko koristen u super stanju i sa svom originalnom opremom sto dodje kao i kada kupite nov mobitel tvornicki otkljucan na sve mreze.. kontakt telefon 099 685 3035 whatsapp viber zbog terenskog rada na vise linija cesto nisam u mogucnosti da odgovorim na telefonske pozive zato budite slobodni da nazovete ili posaljete poruku na whatsapp ili viber i javljam se u sto kracem roku.. hvala.. tu za vas pogledajte i ostalu ponudu klikom na svi oglasi ovog oglasivaca ,37924290,21.11.2023.,766
36,Tu_Za_Vas,apple iphone 12 128gb black crni kao novoo garancija 128 gb,Dubrovačko-neretvanska,rabljeno,670,moguca i zamjena za drugi uredjaj uz nadoplatu.. prodaje se apple iphone 12 128gb 128 gb black crna boja crni .. mobitel je kratko koristen stanje mu je doslovno novo novoo bez i najmanjeg traga koristenja sa garancijom i svom originalnom opremom sto dodje kao i kada kupite nov mobitel tvornicki otkljucan na sve mreze.. kontakt telefon 099 685 3035 whatsapp viber zbog terenskog rada na vise linija cesto nisam u mogucnosti da odgovorim na telefonske pozive zato budite slobodni da nazovete ili posaljete poruku na whatsapp ili viber i javljam se u sto kracem roku.. hvala.. tu za vas pogledajte i ostalu ponudu klikom na svi oglasi ovog oglasivaca ,37120823,21.11.2023.,1049
37,Hallo Bing,iphone 12 256gb,Bjelovarsko-bilogorska,rabljeno,540,iphone 12 256 gb crna boja odlicno stanje. kutija kabel za punjenje. karticom na rate....599 00 e gotovina.....540 00 e,41563537,21.11.2023.,199
38,z7hts,iphone 12 64 gb 380 ,Primorsko-goranska,rabljeno,380,iphone 12 64 gb star 2 5 god. zdravlje baterije 87%. telefon nema tragova koristenja od prvog dana u zastitnoj maskici sa zastitnim staklom na ekranu. uz mobitel kutija slusalice i racun.,41949223,21.11.2023.,92
39,tink0,iphone 12 128gb,Grad Zagreb,rabljeno,330,iphone 12 128gb crne boje. mobitel ima na okviru ostecenja koja se vide na slikama stavljen je nedavno novi ekran. baterija je na 88% zdravlja. dolazi bez kutije samo sa kablom. ne saljem postom samo primopredaja zagreb ili mogucnost dostave na vasu adresu u zagrebu.,42056086,20.11.2023.,172
40,tink0,iphone 12 64gb,Grad Zagreb,rabljeno,280,iphone 12 64gb plave boje. stavljen novi ekran nedavno okvir ima sitna ostecenja i ogrebotine vidi slike . baterija na 87%. dolazi bez kutije samo sa kablom. ne saljem postom samo primopredaja zagreb ili mogucnost dostave na podrucju zagreba.,42056054,20.11.2023.,171
41,Dado003d,iphone 12 128gb crni,Splitsko-dalmatinska,rabljeno,399,apple iphone 12 128gb solidno stanje baterija 87% sve na uredaju ispravno originalna kutija punjac sticker razlog prodaje kupovina novog uredaja,42055860,20.11.2023.,41
42,MobiRi Store,iphone 12 blue 64gb rabljeni uredjaj trgovina racun r1 ,Primorsko-goranska,rabljeno,439, uredjaj iphone 12 blue 64gb stanje 9 10 promo njuskalo cijena 439 karticna placanja 482 90 garancija 3 mj. brza dostava 24h osobno preuzimanje u poslovnici opcije placanja pouzecem gotovinski placate dostavnoj sluzbi kod preuzimanja narudzbe. po predracunu internet bankarstvom ili opcom uplatnicom kartice jednokratno i obrocno do 12 rate maestro visa mastercard 24 diners visa premium mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne vasa trgovina mobi ri store mail info mobiri.hr telefon 099 63 000 32 rijeka 51000 riva 6 robna kuca ri ,41679107,20.11.2023.,86
43,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 12 64gb blue plavi sva oprema garancija baterija 91% ,Splitsko-dalmatinska,rabljeno,620, sve na jednom mjestu mixshop prodaje se apple iphone 12 64gb mobitel 6.1 inca display 4k kamera 64 gb interna memorija 2815mah baterija koristen mobitel sitni tragovi koristenja zdravlje baterije 91% blue plava boja originalna oprema tvornicki otkljucan na sve mreze garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine,36512841,20.11.2023.,1128
44,kolacevi,iphone 12 128gb 85%baterija,Grad Zagreb,rabljeno,330,prodaje se iphone 12 128 gb bez ostecenja za vrijeme koristenja kaljeno staklo na njemu i u maskici baterija 85% kutija i punjac ukljuceni cijena 330 eura bez zamjena i iskljucivo primopredaja u zagrebu,42052569,20.11.2023.,129
45,Zen zalagaonica,iphone 12,Istarska,rabljeno,380,iphone 12 blue aktiviran u 8 21 64gb zdravlje baterije 86% kutija kabel zastitno staklo na njemu cijena 380 00 eura,42052500,20.11.2023.,45
46,B-M-7,iphone 12 top stanje,Splitsko-dalmatinska,rabljeno,390,iphone 12 64 gb maksimalno ocuvan od prvog dana ima kaljeno staklo i zastitnu maskicu. baterija 83%. cijena fiksna 390 . nisam za nikakve zamjene iskljucivo prodaja. kontaknt sms ili whatsapp porukom,41468846,20.11.2023.,243
47,Aloha14,iphone 12,Koprivničko-križevačka,rabljeno,370,mobilni uredaj od prvog dana u maskici bez ostecenja baterija na 86% drzi odlicno. zamjene me ne intersiraju.,42049939,19.11.2023.,34
48,Mata123321,iphone 12 crni 64gb odlicno ocuvan,Varaždinska,rabljeno,400,prodajem iphone 12 crni 64 gb odlicno ocuvan bez ogrebotina star 2 god. prodaje se samo mobilni uredjaj bez punjaca i kabela.,40715958,19.11.2023.,845
49,svencepus,iphone 12 256 gb plavi u top stanju,Grad Zagreb,rabljeno,400,plave boje odlicno ocuvan uz manje ogrebotine sa strane. tvornicki otkljucan na sve mreze. date of purchase june 6 2021 kontakt 091 277 0022 lp sven,41770616,19.11.2023.,200
50,vidak78,iphone 12 128 gb ljubicasti,Splitsko-dalmatinska,rabljeno,480,kao nov bez tragova koristenja star cca 10 mjeseci zastita ekrana i par novih maski u cijeni,41704701,19.11.2023.,342
51,marioblatine,iphone 12,Splitsko-dalmatinska,rabljeno,400,kao nov. baterija 90 %. kutija.,42046055,19.11.2023.,24
52,Blazko7990,iphone 12 64gb blue,Primorsko-goranska,rabljeno,350,prodajem navedeni uredaj sa uredajem se dobije kutija papiri garancija do 02 24 punjac usb kabel poklon maskica cuva savrseno uredaj od prvog dana uredaj je doslovno nov nov bez ostecenja nikakvog od prvog dana u maskici baterija je na 88% molim samo ozbiljne kupce.,42045689,19.11.2023.,40
53,Matija230,iphone 12 64gb,Karlovačka,rabljeno,400,prodajem apple iphone 12 od 64 gb sa pripadajucim racunom. uredjaj dolazi sa svom pripadajucom opremom. stanje 10 10. bez tragova koristenja i bez ikakvih ogrebotina. od prvog dana koristeno zastitno staklo na ekranu i maskica mjehuric na vrhu ekrana je od zastitnog stakla a ne od mehanickog ostecenja na uredjaju . zdravlje baterije 85%. po dogovoru uredjaj saljem hp expressom.,42045429,19.11.2023.,42
54,nonamexyz,i phone 12 128 gb,Krapinsko-zagorska,rabljeno,650,prodajem mobitel iphone 12 128 gb.rabljen ocuvan i bez greske.cijena je 650 eura.pogledajte i ostale moje oglase..zvati na 098 726 669.,40465484,19.11.2023.,338
55,dt9,iphone 12 blue 64gb star 2 godine jako ocuvan oprema zamjena,Krapinsko-zagorska,rabljeno,400,star oko 2 godine dolazi u orginal kutiji sa papirima i svim sto je doslo sa njim. kupcu poklon kvalitetna maskica i zastitno staklo na ekranu. stanje je odlicno zato sto se stalno koristio u zastitama. zdravlje baterije 80%. moze zamjena za mobitel prednost samsung s22 s23 s21 note 10 20 iphone 14 13 11 xs x .. doplate po dogovoru. ponude za zamjenu prvenstveno na mail a moze i sms ili viber whatsapp.. takodjer molim kada saljete ponudu za zamjenu da u tekstu navedete bitne podatke o vasem uredjaju kao sto su tocan model starost stanje papiri racun garancija ovjerena oprema sto sve ide uz uredjaj gdje se nalazite gdje bi se nasli te obavezno iznos koji nudite trazite u predlozenoj kombinaciji. zahvaljujem se unaprijed. saljem overseas express ili gls 7 placanje po preuzimanju pouzecem. network technology gsm cdma hspa evdo lte 5g launch announced 2020 october 13 status available. released 2020 october 23 body dimensions 146.7 x 71.5 x 7.4 mm 5.78 x 2.81 x 0.29 in weight 164 g 5.78 oz build glass front gorilla glass glass back gorilla glass aluminum frame sim single sim nano sim and or esim or dual sim nano sim dual stand by for china ip68 dust water resistant up to 6m for 30 mins apple pay visa mastercard amex certified display type super retina xdr oled hdr10 dolby vision 625 nits hbm 1200 nits peak size 6.1 inches 90.2 cm2 86.0% screen to body ratio resolution 1170 x 2532 pixels 19.5 9 ratio 460 ppi density protection scratch resistant ceramic glass oleophobic coating wide color gamut true tone platform os ios 14.1 upgradable to ios 15.1 chipset apple a14 bionic 5 nm cpu hexa core 2x3.1 ghz firestorm 4x1.8 ghz icestorm gpu apple gpu 4 core graphics memory card slot no internal 64gb 4gb ram 128gb 4gb ram 256gb 4gb ram nvme main camera dual 12 mp f 1.6 26mm wide 1.4 m dual pixel pdaf ois 12 mp f 2.4 13mm 120 ultrawide 1 3.6 features dual led dual tone flash hdr photo panorama video 4k 24 30 60fps 1080p 30 60 120 240fps hdr dolby vision hdr up to 30fps stereo sound rec. selfie camera dual 12 mp f 2.2 23mm wide 1 3.6 sl 3d depth biometrics sensor features hdr video 4k 24 30 60fps 1080p 30 60 120fps gyro eis sound loudspeaker yes with stereo speakers 3.5mm jack no comms wlan wi fi 802.11 a b g n ac 6 dual band hotspot bluetooth 5.0 a2dp le gps yes with a gps glonass galileo qzss nfc yes radio no usb lightning usb 2.0 features sensors face id accelerometer gyro proximity compass barometer siri natural language commands and dictation ultra wideband uwb support battery type li ion 2815 mah non removable 10.78 wh charging fast charging 20w 50% in 30 min advertised usb power delivery 2.0 magsafe wireless charging 15w qi magnetic fast wireless charging 7.5w misc colors black white red green blue purple models a2403 a2172 a2402 a2404 iphone13 2 sar eu 0.99 w kg head 0.99 w kg body price 769.00 645.00 649.95 rp 12 275 000 tests performance antutu 568674 v8 geekbench 4067 v5.1 gfxbench 58fps es 3.1 onscreen display contrast ratio infinite nominal camera photo video loudspeaker 24.4 lufs very good battery life endurance rating 84h,36157082,19.11.2023.,1228
56,simbonja,iphone 14 i apple watch 2,Grad Zagreb,rabljeno,897,iphone 14 128 gb crni ocuvan od prvoga dana u maskici i folija garancija racun. apple watch 2 crni uz njega punjac kutija bijela i crna narukvica.,41235416,19.11.2023.,322
57,EugenBoczka,mob iphone 12,Osječko-baranjska,rabljeno,600,black 64 gb kupljen novi prije 9 mjeseci originalni racun originalna kutija originalni punjac novi zastitna maska i staklo od prvog dana zdravlje baterije 96% razlog prodaje kupujem novi 14,39675044,19.11.2023.,754
58,Accc,prodajem iphone 12,Šibensko-kninska,rabljeno,390,prodajem iphone 12 crni stanje kao novi bez ikakvih ogrebotina 10 10,41918449,19.11.2023.,74
59,marla1,apple iphone 12 blue 128gb,Grad Zagreb,rabljeno,380,prodajem iphone 12 blue 128gb kupljen u t comu racun star 2.god. baterija.na 86% top stanje bez tragova koristenja,41408940,18.11.2023.,497
60,IvanSB2017,prodajem iphone 12 u odlicnom stanju,Brodsko-posavska,rabljeno,400,iphone 12 256 gb crni star 2 godine kupljen 13.12.2021 u odlicnom stanju bez ogrebotina poklanjam maskicu ima kaljeno staklo originalna kutija sa punjacem zdravlje baterije 85%,42042538,18.11.2023.,36
61,Robertpancho,iphone 12 green 128gb,Primorsko-goranska,rabljeno,310, green 128gb kabel za punjac.,41693185,18.11.2023.,209
