,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
10,mark1224,iphone 11 pro max,Grad Zagreb,rabljeno,350,iphone 11 pro max 64gb graphite stanje odlicno zdravlje baterije 81% face id i sve ostalo radi kutija maskica i racun zamjene ne,42082524,22.11.2023.,9
11,bvmk,iphone 11 pro max 256 gb,Grad Zagreb,rabljeno,300,telefon u odlicnom stanju od pocetka nosen u zastitnoj maski sa staklom odlicno ocuvan..,42081686,22.11.2023.,104
12,lenast12,iphone 11 pro max midnight green 256gb,Splitsko-dalmatinska,rabljeno,275,in good condition no box,42077622,22.11.2023.,74
13,pajs3,iphone 11 pro max 256gb,Koprivničko-križevačka,rabljeno,410,prodajem iphone 11 pro max 256gb stanje 9.5 10 od prvog dana u maskici i kaljenom staklu za ozb. kupca cijena nije fixna.,42077575,22.11.2023.,22
14,pajs3,iphone 11 pro max 256gb,Koprivničko-križevačka,rabljeno,410,prodajem iphone 11 pro max 256gb. stanje 9.5 10 od prvog dana u maskici i kaljenom staklu za ozbiljnog kupca cijena nije fixna.,42077539,22.11.2023.,17
15,Rallod_,iphone 11 pro max space gray sve mreze kao novo,Koprivničko-križevačka,rabljeno,390,apple iphone 11 pro max kupljen u tmobileu u hr radi tvornicke na sve mreze crno sive boje od prvog dana u zastitnoj maski stanje kao novo kutija oprema zastitna maska vracen na tvornicke postavke cijena 390 eur kc zg mog dostava moze i postom 097 7737719,42073126,22.11.2023.,21
16,XEROS,iphone 11 pro max 64 gb zlatni,Grad Zagreb,rabljeno,320,prodajem iphone 11 pro max 64gb boja gold kupljen u 11 2019 zdravlje baterije na 76%. mobitel je u super stanju bez ostecenja. uz njega dolazi kutija punjac adapter i kabel maskica novo zastitko staklo te racun. molim bez zamjena. cijena je fixna te za spustanje molim ne zovite primopredaja u zagrebu ili saljem postom zamjene iskljucene. oglas nije prodan sve dok je aktivan.,41326868,22.11.2023.,1649
17,Pachotti,iphone 11 pro max,Osječko-baranjska,rabljeno,370,256gb gold bez ogrebotina i ostecenja uz mobitel dolazi maska i kabel za punjenje ne saljem kurirskim sluzbama samo osobno preuzimanje u antunovcu ili osijeku 095 7980 552 zamjene me ne zanimaju,42069609,21.11.2023.,24
18,Max_what,iphone 11 pro max savrseno ocuvan 10 10,Grad Zagreb,rabljeno,450,gold verzija 64 gb. mobitel izgleda brutalno izvana. prodajem iphone 11 pro max star je oko 3 godine. zdravlje baterije 89% kao sto se vidi na slikama. mobitel sam ekstra pazio i mazio fizicki besprijekoran u kaljenom staklu i maskici oduvijek pa tako i danas. sve najnormalnije radi kao i prvog dana te nema apsolutno nikakvih problema i mana. dakle jedino sto je nedostatak je cinjenica da nije novi no sve ostalo kao novo. uz mobitel dolazi njegova originalna kutija dvije maskice novo kaljeno staklo kao rezerva.,42066310,21.11.2023.,88
19,wpz,iphone 11pro max silver 74gb,Požeško-slavonska,rabljeno,400,stanje 10 10 bez tragova koristenja doslovno nov. od prvog dana s maskicom i kaljenim staklom. originalna ambalaza. uz mobite ide brzi punjac kaljeno staklo novo na njemu. gratis maskice.,41475953,21.11.2023.,203
20,tomoxyz,iphone 11 pro max 64gb space gray stanje odlicno,Grad Zagreb,rabljeno,340,prodajem iphone 11 pro max 64 gb space gray u odlicnom stanju. na mobitelu nema uopce tragova koristenja buduci je na istome od pocetka koristenja zastitna maskica te zastitno staklo. baterija je na 83%. uz mobitel ide original kutija punjac i slusalice te uz isti poklanjam novo zastitno staklo dodatni novi punjac te 7 maskica. iskljucivo prodaja.,42048463,21.11.2023.,178
21,Marco07,iphone 11 pro max 64gb ,Brodsko-posavska,rabljeno,350,mobitel je u odlicnom stanju maximalno ocuvan sve orginal na njemu tvornicki otkljucan na sve mreze zdravlje baterije 79% uz mobitel posjedujem svu pripadajucu opremu plus novo kaljeno staklo 4 maskice mogucnost zamjene za jeftiniji ili skuplji mobilni uredaj,42011928,20.11.2023.,95
22,seba4b,iphone 11 pro max 64 gb,Bjelovarsko-bilogorska,rabljeno,330,prodajem navedeni mobitel. zamjenjeno prednje staklo i baterija drzi cjeli dan uz mobitel dajem 2 kabla za punjenje i maskice slike slikane prednjom kamerom nisu ostre napuklo je kaljeno staklo ekran je citav,41401033,20.11.2023.,463
23,27101979,iphone 11 pro max samo 360 ,Splitsko-dalmatinska,rabljeno,360,prodajem iphone 11 pro max u odlicnom stanju bez friza desetak maskica i sve sto ide s njim. kaljeno staklo na njemu.,42042294,18.11.2023.,51
24,kvzg,iphone 11 pro max 64gb,Grad Zagreb,rabljeno,335,kutija kabel u dobrom stanju sve vidljivo iz slika zdravlje baterije na 85% 330e bez zamjena samo zagreb preuizmanje,42041093,18.11.2023.,204
25,lara04,iphone 11 pro max 64gb,Grad Zagreb,rabljeno,330,prodajem iphone 11pro max 64gb.mobitel uscuvan potpuno ispravan vidljivi tragovi koristenja.,42029627,18.11.2023.,244
26,aphr0dite,iphone 11 pro max 256gb,Koprivničko-križevačka,rabljeno,400,mobitel u ocuvanom stanju vidljivo na slikama. zdravlje baterije 82% originalna apple nije mijenjana. resetiran icloud odjavljen. face id i sve ostale funkcije ispravne. novo kaljeno staklo na ekranu novi kabel i 3 maskice. cijena fiksna. bilo kakve zamjene su iskljucene. primopredaja koprivnica i okolica. moguce slanje postom. prvi kontakt pozeljno preko njuskalo poruka sms ili whatsapp.,42029362,18.11.2023.,71
27,Circe_Gr33k,iphone 11 pro max 256gb maskice kutija,Koprivničko-križevačka,rabljeno,399,koprivnica. zdravlje baterije 82% ocuvan sa 3 maskice kablom i kutijom. 256 8gb.,42029231,18.11.2023.,31
28,srejo,iphone,Međimurska,rabljeno,450,ocuvan baterija 84%,41629683,18.11.2023.,124
29,samojedovi,iphone 11 pro max 256gb midnight green,Grad Zagreb,rabljeno,300,prodajem navedeni mobitel star 4 godine. dolazi sa kutijom punjacem par kablova rjesavam se svih lightning kao i tri maskice crvena carbon od pitaka srednja je quadlock za bicikl motor i desna od mous . na slikama mozete vidjeti sitne ogrebotine okvira gdje je oguljena boja te se na prednjem staklu zaslon vidu ogrebotine ali ne utjecu na rad mobitela niti su toliko primjetne kada je zaslon ukljucen. ogrebotine zaslona mozete i sanirati ako ce vam predstavljati problem. mobitel je u potpunosti ispravan te se moze sve testirati. zdravlje baterije na 74% mene sluzio cijeli dan uz 5 6h onscreen time.,41759674,17.11.2023.,499
30,trgovac236,iphone 11pro max 256gb,Grad Zagreb,rabljeno,350,ocuvan iphone bez ogrebotine silver. zainteresirani javiti se na mail toni10petrovic gmail.com ili porukom na broj telefona 0977282467,39958257,17.11.2023.,1347
31,Miro12233,iphone 11 pro max 64gb,Splitsko-dalmatinska,rabljeno,300,prodajem navedeni mobitel stanje vidljivo na slikama. zdravlje baterije 73% kontakt pozivom na broj 099 296 3580 ili njuskalo porukom. cijena nije fiksna,42023543,17.11.2023.,96
32,rasin1991,iphone 11 pro max 256gb,Zadarska,rabljeno,350,uz mobitel ide nekoliko maskica,42023321,17.11.2023.,64
33,Makii0,iphone 11 pro max 64gb ,Požeško-slavonska,rabljeno,370,mobitel je u odlicnom stanju maximalno ocuvan sve orginal na njemu tvornicki otkljucan na sve mreze zdravlje baterije 79% uz mobitel posjedujem svu pripadajucu opremu plus novo kaljeno staklo 4 maskice ,42019287,17.11.2023.,40
34,Frankie_1,iphone 11 pro max,Primorsko-goranska,rabljeno,390,prodajem iphone 11 pro max 64gb space grey kao nov u original ambalazi s original punjacem kabelom novom zastitom za ekran i dvije maskice od kojih je jedna original riva. mobitel je otkljucan na sve mreze. baterija na 92%. prodajem jer mi je visak. tel. 092 2972600,42010888,16.11.2023.,50
35,ts0410959,iphone 11 pro max 65 gb stanje 10 10,Šibensko-kninska,rabljeno,390,stanje 10 10.par puta koristen u zastitnim maskicama od prvog dana.bez tragova koristenja.baterija 100% kutija original punjac bez kabela plus dodatni punjac.uplata na tekuci prije slanja.postarinu placa kupac.glass protect gratis.,40275252,16.11.2023.,137
36,Zalagaonica Karlovac,iphone 11 pro max 256gb,Karlovačka,rabljeno,400,stanje 9 10 baterija 84% boja grey nas cjelokupni asortiman proizvoda pogledajte na www.zalagaonice.com cijena za karticno placanje 439 99 zalagaonica karlovac trznica mobitel 092 500 9000 gdje se nalazimo stari trzni centar setnica adresa trg hrvatskih branitelja 2 radno vrijeme radnim danom 8 20h subota 8 14h usluge koje pruzamo mogucnost placanja karticama erste banka pbz zagrebacka banka diners visa mastercard mogucnost izdavanja r1 racuna. mogucnost slanja gls om placanje pouzecem ili uplatom na racun rok isporuke 72h . do vrijednosti od 100 postarina 5 besplatna dostava iznad 100 zamjene po dogovoru. ne odgovaramo na sms.,42006115,16.11.2023.,70
37,cipelitza,iphone 11 pro max 64gb,Grad Zagreb,rabljeno,350,iphone 11 pro max 64gb zdravlje baterije 83%. stanje savrseno dolazi u svojoj ambalazi s punjacem i slusalicama koje nisu koristene . dvije dodatne maskice jedna posve nova druga otterbox u kojoj je i slikan. zastitno staklo na ekranu.,42005968,16.11.2023.,290
38,Tea098,iphone 11 pro max 256gb,Međimurska,rabljeno,400,prodajem iphone 11 pro max u odlicnom stanju od kupnje telefona na njemu je zastitno kaljeno staklo i maskica stanje 9.8 10 baterija 81% dolazi bez kutije uz telefon ide kabel i adapter javite se na mail ili porukom posto gdje radim imam problem sa signalom granica hr i slo slike u prilogu ,41931077,15.11.2023.,103
39,dancek03,iphone 11 pro max 256gb,Međimurska,rabljeno,265,pozdrav prodajem iphone 11 pro max mobitel je star 2 godine kutija punjac adapter dolaze uz njega papire garanciju nemam posto je istekla bateriju bi trebalo zamjeniti 75% cijena je fixna ocuvan te u odlicnom stanje kaljeno staklo na njemu od prvog dana maskica na poklon moze i zamjena za mobitel poco f3 x3 pro f4 gt ne saljem postom samo osobna primopredaja javiti se preko njuskala ili na broj 099 630 3513,42002203,15.11.2023.,92
40,msmo3,iphone 11 pro max u super stanju,Zagrebačka,rabljeno,300,apple iphone 11 pro max 64gb 82% zdravlje baterije space gray 64 gb. ocuvan bez ikakvih tragova koristenja baterija drzi cijeli dan bez problema. na uredaju sve uredno radi otvoren na sve mreze face id itd... na poklon 2x kaljeno staklo novo maskice. uz mob dolazi ogrinal kutija racun kabel punjac te slusalice javiti se na broj 0919725372 iskljucivo poruke jer se radi posla ne mogu javit ili na mail ssmogor333 gmail.com,41662899,15.11.2023.,456
41,mraven18,iphone 11 pro max 512gb,Osječko-baranjska,rabljeno,550,odlicno ocuvan najjaci model dolazi sa originalnim punjacem i dvije maskice na zmaja cijena nije fiksna,41994371,15.11.2023.,26
42,it_2309,iphone,Grad Zagreb,rabljeno,349,prodajem rabljeni iphone 11 pro max 256 gb. mobitel je u odlicnom stanju. kupljen 12 19 u apple storu. baterija jos uvijek odlicno drzi cijeli dan. nikad nije bio ostecivan ili popravljan. telefon je na raspolaganju od 17.11.23.,41992454,14.11.2023.,80
43,Bmw-353,iphone 11 prro max,Sisačko-moslavačka,rabljeno,330,iphone 11 prro max 330 ,41930609,14.11.2023.,196
44,noemikasner,iphone 11 pro max,Osječko-baranjska,rabljeno,400,prodajem iphone 11 pro max 256gb u originalnoj kutiji dolazi sa originalnim punjacem i adapterom. mobitel na sebi i dalje ima posebno po mjeri napravljeno zastitno staklo koje je na njemu od kad je kupljen. zdravlje baterije 85% s mobitelom takodjer dajem sve maskice. molim vas da pisete poruke da ne zovete.,41983878,13.11.2023.,59
45,vg_prodaja,iphone 11 pro max 256 gb stanje 10 10 kabel baterija 81%,Zagrebačka,rabljeno,370,iphone 11 pro max 256 gb stanje 10 10 kabel baterija 81% odlican bez zamjena fiksno,41117863,13.11.2023.,1141
46,andr653,iphone 11 pro max,Osječko-baranjska,rabljeno,370,prodajem iphone 11 pro max 64 gb prvi sam i jedini vlasnik. boja olive green tamno zelenkasta. bez ijedne ogrebotine ni na jednom mjestu. cijelo vrijeme je bio u original apple maskici. dolazi uz slusalice i punjac. zdravlje baterije 77%,41949212,11.11.2023.,77
47,sara184,iphone 11 pro max baterija 88% 64 gb,Međimurska,rabljeno,330,stanje 10 10 bat 88% crne boje kaljeni na ekranu i kameri maskice gratis kontakt viber sms,41487371,11.11.2023.,272
48,domirider,iphone 11 pro max 64 gb kao nov,Grad Zagreb,rabljeno,350,prodajem navedeni mobitel u savrsenom stanju. sve radi perfektno i nema niti jedne crtice na sebi. uz njega kutija kabel punjaca i 2 maskice. primopredaja zagreb varazdin cakovec. kontakt 098 919 6795,41940223,10.11.2023.,552
49,beck2606,iphone 11 pro max silver 64gb,Osječko-baranjska,rabljeno,350,prodajem navedeni telefon u jako dobro stanju 09 10 tragovi koristenja baterija je na 86%. cijena je fiksna i ne zanimaju me zamjene. telefon je dostupan od 13.11.,41924162,08.11.2023.,272
50,dariop2,prodajem iphone 11 pro max hitno,Grad Zagreb,rabljeno,350,64 gb stanje 10 10 stalno u maskici i zastitnoj foliji baterija 89% racun i kutija uz njega. cijena fiksna,33352621,08.11.2023.,9429
51,drazendurinic,iphone 11 pro max space grey 256 gb,Grad Zagreb,rabljeno,500,iphone 11 pro max space grey 256 gb rabljeno bez ogrebotina i ostecenja,39913595,07.11.2023.,2242
52,dean3471,iphone 11 pro max 256 gb,Grad Zagreb,rabljeno,450,prodajem iphone 11 pro max 256 gb u odlicnom stanju bez ogrebotina. na njemu je zastitno staklo koje je razbijeno sam ekran nema ostecenja. zdravlje baterije je 82%. uz njega poklanjam 2 nova zastitna stakla i 3 maskice,41916487,07.11.2023.,608
53,PoniIvki,iphone 11 pro max 64gb,Zagrebačka,rabljeno,400,prodaje se mobitel iphone 11 pro max 64 gb u boji silver ocuvan i kao nov. uz uredjaj poklanjam i maskicu. cijena 400 eur kontakt 0995941474,41348233,05.11.2023.,395
54,Gospodica06,iphone 11 pro max 256gb,Istarska,rabljeno,380,prodajem iphone 11 pro max 256gb ocuvan. za vise informacija 385 99 2912 322,41878032,04.11.2023.,136
55,theSmurfette0602,iphone 11 pro max 64gb,Grad Zagreb,rabljeno,380,ocuvan ispravan ociscen dolazi sa punjacem.,41812325,03.11.2023.,389
56,larapi,iphone 11 pro max 64gb zlatni cijena nije fiksna ,Grad Zagreb,rabljeno,400,iphone 11 pro max 64gb zlatni ocuvan nema ni jednu ogrebotinu uvijek bio u maskici i sa zastitnim staklom. radi savrseno. originalna kutija punjac slusalice racun uz uredjaj. uz njega dolaze jos i maskice besplatno. iskljucivo osobno preuzimanje u podrucju zagreba.,41810581,03.11.2023.,395
57,Njuskalo_VZ,iphone 11 pro max,Varaždinska,rabljeno,420,u jako dobrom stanju orginal pakiranje plus maskice oko 10 komada na poklon. radi na sve mreze zdravlje baterije 82%. cijena fiksna. zamjena za samsung ili jeftiniji iphone ponude u inbox.,41775891,30.10.2023.,92
58,josipa33,iphone 11 pro max povoljno ,Splitsko-dalmatinska,rabljeno,380,prodajem iphone 11 pro max u odlicnom stanju bez ogrebotine maskice s njim dolaze i sve sta ide s njim.,41769343,29.10.2023.,124
59,domirider,iphone 11 pro max 64 gb kao nov,Grad Zagreb,rabljeno,350,prodajem navedeni mobitel. midnight zelene boje 64 gb. u savrsenom stanju bez ikakvih znakova koristenja sve radi perfektno. 80% zdravlje baterije. uz njega dolazi kutija kabel punjaca i silikonska maskica. primopredaja zagreb varazdin ili cakovec. kontakt 098 919 6795,41764886,28.10.2023.,155
60,Vinkosevo,iphone 11 pro max,Grad Zagreb,rabljeno,430,prodajem iphone 11 pro max 64gb space grey full oprema 7 maskica stanje mobitela je 10 10 zdravlje baterije je 82% face id i true tone su ispravni kao i sve ostale funkcije na mobitelu.,40182687,26.10.2023.,607
61,imperoauto2,iphone 11 pro max 256 gb,Sisačko-moslavačka,rabljeno,350,iphone 11 pro max 256 gb mobitel bez vanjskih ostecenja. zdravlje baterije 85% face id ne radi. sve ostalo u funkciji.,41743012,25.10.2023.,240
