,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
10,goran_sk12,iphone 14 pro max 128gb deep purple,Sisačko-moslavačka,rabljeno,1000,uredaj je nov kupljen 11.11.2023 samo otvoren cjena fixna,41322997,23.11.2023.,291
11,zovime,iphone 14 pro max 128gb silver kupljen 9 23,Grad Zagreb,rabljeno,950,prodajem iphone 14 pro max od 128gb memorije u bijeloj boji. mobitel je aktiviran i koristen 1 mjesec dana. stanje se moze vidjeti na slikama uredjaj. zdravlje baterije je na 99% kapaciteta. na uredjaju je sve ispravno te nikada nista nije bilo popravljano. moguca je svaka provjera uredjaja.,40445712,23.11.2023.,323
12,zovime,iphone 14 pro max 128gb 5 23 100%,Grad Zagreb,rabljeno,950,prodajem iphone 14 pro max od 128 gb memorije u crnoj boji. mobitel je u savrsenom stanju bez i najmanjeg traga koristenja sa zastitnim staklom od prvog dana na ekranu uredjaja i u maskici. uredjaj je kupljen u 5. mjesecu ove godine te ima aktivnu garanciju. uredjaj radi na sve mreze. na uredjaju nikada nista nije mijenjalo u popravljeno te je sve ispravno. zdravlje baterije na 100% kapaciteta. uredjuje krace vrijeme koristen u poslovne svrhe od strane starije zenske osobe. moguce je svaka provjera uredjaja,41948302,23.11.2023.,582
13,iconnectservis,apple iphone 14 pro max 128gb rabljeno do 36 rata zamjena,Osječko-baranjska,rabljeno,979,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro max 128gb jamstvo na uredjaj jamstvo 16.05.2024. stanje uredjaja rabljeno zdravlje baterije 100% boja crna mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 979 00 cijena za kartice na rate 1.100 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com ,41452433,23.11.2023.,612
14,iconnectservis,apple iphone 14 pro max 128gb rabljeno,Osječko-baranjska,rabljeno,979,iconnect servis bosutska ulica 6 31000 osijek kontakt broj 091 444 7778 radno vrijeme pon pet 09 00 17 00h sub. 09 00 13 00h uredjaj apple iphone 14 pro max 128gb jamstvo na uredjaj jamstvo 07.05.2024. stanje uredjaja rabljeno zdravlje baterije 99% boja crna mreze otkljucan na sve mreze cijena za gotovinu kartica jednokratno 979 00 cijena za kartice na rate 1.100 00 mogucnosti placanja gotovina jednokratno karticama obrocna otplata zamjena staro za novo. mogucnost obrocne otplate karticama pbz do 12 rata american express do 24 rata diners do 36 rata otp do 12 rata erste do 12 rata slatinska banka do 12 rata agram banka do 12 rata nova hrvatska banka do 12 rata kent banka do 12 rata sve ostale informacije na 091 444 7778 facebook.com profile.php id 100091515870763 instagram.com iconnectservis www.iconnect servis.com slicni oglasi,41807912,23.11.2023.,280
15,iMOBILE, prodajem apple iphone 14 pro max sve mreze garancija ,Vukovarsko-srijemska,rabljeno,979, imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 14 pro max 128gb kupljen kao slobodan uredjaj zdravlje baterije 100% radi na sve mreze crna boja ocuvan uz mobitel ide kutija usb kabal sim iglica garancija 20.05.2024. racun ne saljem tiskom cijena 979 00 7.376 28kn opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 681 478 098 911 6590,41997406,23.11.2023.,131
16,zhadzic,iphone 14 pro max 128 gb dodaci,Grad Zagreb,rabljeno,950,pozdrav prodajem iphone 14 pro max 128 gb zajedno sa dodacima. mobitel je u izvrsnom ocuvanom stanju uvijek unutar maskice. razlog prodaje je sto mi vise ne treba za poslovne aplikacije jer su sada dostupne na androidu. kupljen je preko ht a prije 11 mjeseci. mobitel dolazi uz original kutiju original punjacem sa kablom te uz mobitel poklanjam 2 dodatka koja su magsafe maskica te magsafe punjac. zdravlje baterije stoji solidno na 96 posto. moguce je osobno preuzimanje. ako ste zainteresirani slobodno me kontaktirajte ovdje preko poruke ili preko telefona 099 211 5244 ,41988483,23.11.2023.,380
17,Belkic,iphone 14 pro max 256gb racun garancija oprema odlican ,Grad Zagreb,rabljeno,1030,prodajem iphone 14 pro max 256gb u crnoj boji. uredjaj je u odlicnom sto se moze vidjeti na slikama. od prvog dana kaljeno staklo i maskica. maskica kupcu na poklon kao i novo kaljeno staklo. novi ios zdravlje baterije na 100%. uredjaj je povremeno koristen uz primarni. racun i garancija iz ht a do 19.6.24. cijena 1030 fixno. cijena u zamjeni veca. primopredaja zg ostalo po dogovoru. kontakt moze poziv sms viber whatsapp. s23 ultra s23 plus s23 s22 ultra s21 ultra s20 ultra note 20 ultra fold 5 fold 4 fold 3 512gb fold 3 flip 3 flip 4 s21 plus s22 s22 plus huawei p50 pro p40 pro iphone 15 pro max iphone 15 pro iphone 15 iphone 14 pro max iphone 14 pro iphone 14 iphone 13 pro max 12 pro max 11 pro max 13 pro 12 pro...,42090956,23.11.2023.,35
18,Ana_mm,iphone 14 pro max black 512gb stanje top baterija 97% zamjene,Splitsko-dalmatinska,rabljeno,999,iphone 14 pro max 512gb black stanje top radi na sve mreze baterija 97% moguce zamjene 999 0917896654,42055164,23.11.2023.,52
19,Sezona2014,iphone 14 promax 256gb purple,Grad Zagreb,rabljeno,1100,iphone 14 pro max bez jedne crtice na mobitelu kao novvv 256gb sa kutijom,41990924,22.11.2023.,362
20,puroksica,iphone 14 pro max space black 512 gb 100% bat,Grad Zagreb,rabljeno,1300,iphone 14 pro max space black 512gb bez tragova koristenja od prvog dana u maski i sa zastitnim staklom. mobitel koristen 5 mjeseci stanje baterije 100%. prodajem sa originalnim pakiranjem kutija i usb kabel . nisam za zamjene.,42086529,22.11.2023.,40
21,zalog.hr - PRODAJA/OTKUP/ZALAGAONICA,iphone 14 pro max 128gb crni do 24 rate r1 novo garancija ,Grad Zagreb,rabljeno,750,prodajemo iphone 14 pro max 128gb crni aktiviran 14.03.2023. stanje baterije 100% mobitel je u vrlo dobrom stanju sa vidljivim tragovima koristenja uz mobitel dolazi originalna ambalaza uz mobitel dolazi originalni kabel za punjenje uz mobitel ne dolazi originalni racun garancija adresa poslovnice ozaljska 62 zagreb prodaja otkup zalog dostava placanje pouzecem placate postaru kad primate paket uz osiguranjem po cijeloj hrvatskoj virmansko placanje dostava uz osiguranjem po cijeloj hrvatskoj placanje gotovina navedene cijene na oglasu su za gotovinsko placanje kartice placanje na rate u poslovnici dio gotovina dio kartica koje kartice primamo pbz maestro visa premium do 24 rate pbz master rba do 12 rata ostale kartice jednokratno kontakt kontakt poziv sms viber whatsapp mail mobitel 098 669 725 whatsapp 098 669 725 fiksna linija 01 363 3678 mail info zalog.hr web www.zalog.hr facebook zalog.hr zalagaonica instagram zalog.hr otkupljujemo i prodajemo i uzimamo u zalog mobiteli tehnika numizmatika investicijsko zlato mobiteli pokretnine automobili quad ovi bicikli elektricni motor i skuter i romobil i djecji auti na akumulator baterije playstation nintendo xbox konzole igre kontroleri i sva ostala oprema laptop i apple macbook ovi tablet i apple ipad i televizor i dji dron ovi gopro kamere hoverboard i sportska fitness crossfit i box oprema ostali predmeti koji imaju trzisnu vrijednost iphone 14 pro max 128 gb 128gb crni radno vrijeme pon petak 08 00 20 00 sub 9 00 15 00 kliknite na svi oglasi ove trgovine te pogledajte nasu kompletnu ponudu sifra artikla t10650,42086017,22.11.2023.,100
22,zidazg,iphone 14 pro max 256gb space black,Grad Zagreb,rabljeno,800,prodajem iphone 14 pro max space black. kupljen u 10mj 2022 u svjet medija. od prvog dana u zastitnoj maskici i zastitno staklo. bez ogrebotina i ostecenja. zdrqvlje baterije 90%. zbog posla molim upite slati porukom. cijena fiksna ,42054986,22.11.2023.,243
23,b_cobra,prodajem apple iphone 14 pro max 256gb space black,Bjelovarsko-bilogorska,rabljeno,1000,prodajem navedeni iphone apple iphone 14 pro max 256gb space black kupljen 10.03.2023. u austriji. stanje savrseno 12 10 garancija da lokacija bjelovar razlog prodaje presao na novu generaciju uz iphone dajem 1x zastita za ekran 1x zastita za lece kamere 3x case sve sto je doslo uz iphone u trgovini zamjene ne prihvacam. za ostale detalje stojim na raspolaganju.,42085349,22.11.2023.,25
24,AlufelgeVT,iphone 14 pro max silver 128gb 10 10 950e ,Virovitičko-podravska,rabljeno,950,iphone 14 promax silver 128gb kupljen 30.9 2022 t com racun stanje 10 10 bez ijedne piknjice maskica i kaljeno od prvog dana baterija 91% drzi cjeli dan bez problema cijena 950e kes postom ne saljem samo osobno u racun moze iphone 13 ili 14 14 plus moze sms viber wapp poziv 0919781401,39188954,22.11.2023.,934
25,rango12,iphone 14 pro max 128gb baterija 100% top stanje gratis kaljeno punjac,Splitsko-dalmatinska,rabljeno,999,na prodaju iphone 14 pro max 128gb. top stanje max ocuvan. zdravlje baterije 100% garancina istekla. star tocno 1god slabo koristen. posjedujem racun. radi na sve mreze. poklanjam kaljeno staklo novo i punjac ,41805608,22.11.2023.,149
26,Matej1909,iphone 14 pro max 256gb white garancija star 9. mjeseci kao nov ,Grad Zagreb,rabljeno,930,prodajem iphone 14 pro max 256 gb bijele boje kupljen u 2. mjesecu ove godine jos je pod garancijom. preko ekrana od prvog dana zastitno kaljeno staklo u gornjem kutu se malo odlijepilo ali ne smeta i dajem s njim spigen zastitnu maskicu vrijednosti 25 . zdravlje baterije 94% s njim dolazi kutija racun i sva dodatna originalna oprema. kontakt na broj 0994547227,41970982,22.11.2023.,497
27,nr13,iphone 14 pro max 128gb deep purple,Grad Zagreb,rabljeno,1000,prodajem iphone 14 pro max star 6 mjeseci u izvrsnom stanju bez ikakvih ostecenja garancija vrijedi jos 6mj zdravlje baterije 100% 128gb deep purple boja nisam za zamjene iskljucivo zg i okolica preuzimanje moguca mala korekcija cijene,42072370,22.11.2023.,60
28,VukiRi99,iphone 14 pro max 128gb crni,Primorsko-goranska,rabljeno,900,uredaj je kupljen u t com. uz njega dolaze 30w adapter te kabel i kutija. na telefonu je maskica od mobile outfiters bumpers fusion . stanje baterije 100%. stanje telefona 10 10 racun garancija iz t coma ponude preko pay protecta.,42070047,22.11.2023.,67
29,OpgMiron,iphone 14 pro max,Sisačko-moslavačka,rabljeno,950,prodajem iphone 14 pro max star 8 mjeseci garancija do 04 2024 kutija papiri i ostala oprema,41992977,21.11.2023.,97
30,mstv_ch,iphone 14 pro max,Osječko-baranjska,rabljeno,900,malo koristen baterija na 100% uz njega original magsafe dodatna baterija za bezicno punjenje prodaja iskljucivo osijek i okolica osobno preuzimanje nikakve dostave ne dolaze u obzir,42069486,21.11.2023.,84
31,Warehouse233,iphone 14 pro max 128gb deep purple zamjena,Varaždinska,rabljeno,919,prodajem iphone 14 pro max 128gb deep purple. mobitel je bez najmanjeg traga koristenja kao nov. zamjena moguca iskljucivo za samsung iphone uredaje koji su bez znakova koristenja sa svom opremom i pripadajucom dokumentacijom. racun i garancija 7 24 zdravlje baterije 100% cijena uredjaja je fiksna kontakt broj 0953848010 moguce slanje overseasom ili gls om pouzecem,42065413,21.11.2023.,29
32,Wollf,iphone 14 pro max 256 silver,Vukovarsko-srijemska,rabljeno,1100,pod jamstvom do 22.05.2024. na ekranu zastitno staklo maskica kutija papiri zdravlje baterije 99%,42065378,21.11.2023.,23
33,iMOBILE, prodajem apple iphone 14 pro max 256gb sve mreze garancija ,Vukovarsko-srijemska,rabljeno,1080, imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 14 pro max 256gb kupljen kao slobodan uredjaj ocuvan max. nema najmanjeg traga koristenja zdravlje baterije 96% radi na sve mreze crna boja uz mobitel ide kutija usb kabal sim iglica garancija 3mj. racun ne saljem tiskom cijena 1080 00 8.137 26kn opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 911 6590,41971963,21.11.2023.,154
34,smart_8888,apple iphone 14 pro max 128gb gold kao novi racun garancija sve mr,Primorsko-goranska,rabljeno,940,apple iphone 14 pro max 128 gb gold kao novi s racunom i garancijom do 30.05.2024. zdravlje baterije 100% radi na sve mreze. moze se pruzeti u rijeci.,41738884,21.11.2023.,301
35,Horvat14,iphone 14 pro max 256gb,Osječko-baranjska,rabljeno,950,prodajem iphone 14 pro max mobitel je kao sto se vidi na slikama u savrsenom stanju uvijek koristen sa maskom i kaljenim staklom. kupljen je 28.10.2022 uz mobitel poklanjam tri zapakirana kaljena stakla te dvije maske. u kutiji je sve kao u originalnom pakiranju plus racun.,41781421,21.11.2023.,239
36,jozopezer,iphone 14 pro max 128gb.space black star 5mj. 10 10,Primorsko-goranska,rabljeno,900,mobitel u izvrsnom stanju sa pripadajucom opremom i racunom. garancija do 6mj. 2024 zdravlje baterije 97%,41782951,21.11.2023.,149
37,Ivan377372,prodajem iphone 14 pro max 256gb,Varaždinska,rabljeno,700,kao nov,42056034,20.11.2023.,190
38,mazuranka,hitno iphone 14 pro max 128gb black,Grad Zagreb,rabljeno,970,kupljen prosle godine kad je izasao. imam racun bez ogrebotine kao nov. ima 96% baterije. uz njega idu maskice te kabel za punjenje te zicane slusalice. ne prihvacam zamjene ,41698382,20.11.2023.,851
39,evergever,iphone 14 pro max 128gb space black,Splitsko-dalmatinska,rabljeno,1000,iphone 14 pro max 128gb crne boje koristen doslovno nov aktiviran 18.08.2023 racun iz t mobile.baterija je na 100%.samo prodaja bez zamijene.,41777150,20.11.2023.,193
40,MobiRi Store,iphone 14 pro max space black 128gb rabljeni uredjaj trgovina racun r1 ,Primorsko-goranska,rabljeno,999, uredjaj iphone 14 pro max silver 128gb stanje 9 10 promo njuskalo cijena 999 karticna placanja 1098 90 garancija 24 mj. brza dostava 24h osobno preuzimanje u poslovnici opcije placanja pouzecem gotovinski placate dostavnoj sluzbi kod preuzimanja narudzbe. po predracunu internet bankarstvom ili opcom uplatnicom kartice jednokratno i obrocno do 12 rate maestro visa mastercard 24 diners visa premium mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne vasa trgovina mobi ri store mail info mobiri.hr telefon 099 63 000 32 rijeka 51000 riva 6 robna kuca ri ,41680141,20.11.2023.,108
41,MobiRi Store,iphone 14 pro max silver 128gb rabljeni uredjaj trgovina racun r1 ,Primorsko-goranska,rabljeno,999, uredjaj iphone 14 pro max silver 128gb stanje 9 10 promo njuskalo cijena 999 karticna placanja 1098 90 garancija 24 mj. brza dostava 24h osobno preuzimanje u poslovnici opcije placanja pouzecem gotovinski placate dostavnoj sluzbi kod preuzimanja narudzbe. po predracunu internet bankarstvom ili opcom uplatnicom kartice jednokratno i obrocno do 12 rate maestro visa mastercard 24 diners visa premium mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne vasa trgovina mobi ri store mail info mobiri.hr telefon 099 63 000 32 rijeka 51000 riva 6 robna kuca ri ,41678890,20.11.2023.,123
42,MobiRi Store,iphone 14 pro max silver 128gb rabljeni uredjaj trgovina racun r1 ,Primorsko-goranska,rabljeno,999, uredjaj iphone 14 pro max silver 128gb stanje 9 10 promo njuskalo cijena 999 karticna placanja 1098 90 garancija 12 mj. brza dostava 24h osobno preuzimanje u poslovnici opcije placanja pouzecem gotovinski placate dostavnoj sluzbi kod preuzimanja narudzbe. po predracunu internet bankarstvom ili opcom uplatnicom kartice jednokratno i obrocno do 12 rate maestro visa mastercard 24 diners visa premium mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne vasa trgovina mobi ri store mail info mobiri.hr telefon 099 63 000 32 rijeka 51000 riva 6 robna kuca ri ,41678867,20.11.2023.,99
43,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro max 128gb black top novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,1130, sve na jednom mjestu mixshop prodaje se apple iphone 14 pro max mobitel 6gb ram 128gb interna memorija 6.7 inca display 48mp 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386399,20.11.2023.,86
44,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro max 256gb bijeli top novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,1240, sve na jednom mjestu mixshop prodaje se apple iphone 14 pro max mobitel 6gb ram 256gb interna memorija 6.7 inca display 48mp 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386387,20.11.2023.,91
45,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 pro max 512gb purple top novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,1330, sve na jednom mjestu mixshop prodaje se apple iphone 14 pro max mobitel 6gb ram 512gb interna memorija 6.7 inca display 48mp 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386361,20.11.2023.,95
46,kresimirkohorta7,iphone 14pro max 256gb jamstvo do 26 8 2024,Osječko-baranjska,rabljeno,1070,iphone 14 pro max 256gb uredjaj besprijekorno ocuvan bez i najmanjeg traga koristenja koristen dva tjedna jamstvo tvornicko t com racun cijena fixna zadnja ,42051804,20.11.2023.,33
47,Netcoom,iphone 14 pro max pruple 128gb,Bosna i Hercegovina,rabljeno,350,iphone u dobrom stanju bez tragova koristenje ispravam bez zamajne cijna 380 baterija 100% face ide isprvan kutija punjac maska odkljucan na sve mreze icloud free,42051558,20.11.2023.,83
48,jerkori,apple iphone 14 pro max deep purple 128gb,Zagrebačka,rabljeno,950,prodajem iphone 14 pro max deep purple 128 gb prakticki nekoristen buduci da koristim drugi model.,41969275,19.11.2023.,466
