,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
10,grab20,iphone 11 pro gold 64 gb,Varaždinska,rabljeno,200,na linku ima sve o mobitelu. ocuvan. slabije se cuje kada se razgovara. nema punjac https www.jeftinije.hr proizvod 17624484 telefoni mobiteli oprema mobiteli pametni telefoni apple iphone 11 pro 64gb gad source 1 gclid cj0kcqiapoyqbhdlarisagfnymql6dxa qbaqd0t3zs3wwv8aqjm02aovsaeahg4jcagtzkyuo85k14aavuvealw wcb,42054699,20.11.2023.,121
11,31011952,iphone11 pro 64 gb,Brodsko-posavska,rabljeno,300,iphone 11 pro baterija na 78% jos uvijek moze citav dan izdrzati. hidrogel zastita na ekranu maskica kabel kutija. cijena 300 eur fiksno zamjene me ne zanimaju.,41704600,20.11.2023.,266
12,reparis,iphone 11 pro 64gb,Vukovarsko-srijemska,rabljeno,320,uredjaj iphone 11 pro 64gb boja space gray stanje rabljeno zdravlje baterije 96% garancija 3 mjeseca navedena cijena vrijedi iskljucivo za jednokratno placanje. mogucnost placanja do 36 rata karticama erste diners i mb plus. moguca dostava ili preuzimanje osobno u poslovnici u vinkovcima. napomena mogucnost izdavanje r1 uredjaji iz predmetne kategorije oporezuju se po posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . prema zakonu takvi uredjaji se tretiraju kao rabljena roba iako se radi o novim zapakiranim i nekoristenim uredjajima koji dolaze s originalnom dodatnom opremom i tvornickim jamstvom proizvodjaca.,42053150,20.11.2023.,44
13,miha219,iphone 11 pro 64gb,Grad Zagreb,rabljeno,170,iphone 11 pro savrseno radi sve je funkcionalno samo je zadnje staklo razbijeno moze i za dijelove zamijena za iphone 12,41705407,20.11.2023.,757
14,nv5n1,iphone 11 pro 512gb,Zadarska,rabljeno,450,bez crtice i nova baterija samo osobna predaja u zadru i nikakve zamjene ne dolaze u obzir,42052740,20.11.2023.,59
15,anek123,apple iphone 11 pro 64gb,Varaždinska,rabljeno,170,mobitel je funkcionalan ima sitno ostecenje na ekranu s prednje strane u gornjem lijevom kutu te isto tako i sa straznje strane. uz mobitel dajem originalnu kutiju 3 maskice te slusalice.,42051952,20.11.2023.,132
16,helenab1,iphone 11 pro 256gb 98% baterija,Grad Zagreb,rabljeno,450,prodajem iphone 11 pro 256gb. zdravlje baterije je 98%. na uredjaju nikada nista nije mijenjano popravljano. ios 16 nije instaliran zbog info da se puno vise trosi baterija s njim zbog cega je baterija izvrsna. uredjaj je star 3 godine. od prvog dana u maskici i s kaljenim staklom nema ogrebotina . radi bez poteskoca te baterija izdrzi cijeli dan bez problema. razlog prodaje kupljen novi mobitel. uz uredjaj ide racun kutija te kabel. iskljucivo primopredaja u zagrebu.,42047512,19.11.2023.,197
17,cvrtilak,iphone 11 pro,Osječko-baranjska,rabljeno,300,prodajem iphone 11 pro 64 gb bez ijedne ogrebotine u izvanrednom stanju zastitna maska sa kaljenim staklom na slici ,41705856,19.11.2023.,271
18,Smartphone_oprema,iphone 11 pro 64gb,Varaždinska,rabljeno,310,prodajem iphone 11 pro 64gb super ocuvan i u potpunosti ispravan. uz mobitel dolazi kutija i punjac spiegen maskica te zamjensko zastitno staklo. ne zanimaju me zamjene. uredaj se moze pogledati u varazdinu slanje postom po dogovoru zbog radnog vremena molim prvo kontakt na whatsapp viber na 095 504 2893,41503184,18.11.2023.,213
19,Vgggg,iphone 11 pro 256gb,Zagrebačka,rabljeno,199,zamnjenjen ekran napuklo straznje staklo vidi se na slici. straznja kamera radi bez problema prednja kamera i face id ne radi otkljucan na sve mreze otkljucan icloud baterija 82% 256gb 2 kabla za punjenje 2 maskice i zastitna stakla,42028898,18.11.2023.,363
20,Mala0891,apple iphone 11 pro 64 gb rose gold,Grad Zagreb,rabljeno,360,apple iphone 11 pro 64 gb rose gold u super stanju od prvog dana sa zastitnom maskom tako da nema nista ostecenja. u potpunosti ispravan i bez kvarova.,40674918,18.11.2023.,549
21,batamon,iphone 11 pro 64gb,Splitsko-dalmatinska,rabljeno,330,iphone 11 pro 64 gb stanje mobitela 10 10 bez iti jedne crtice cijelo vrijeme je bio u masci sa zastitnim staklom saljem dodatne slike ukoliko je potrebno kupljen u istyle a imam racun zdravlje baterije 83% wapp 0911942359,42020950,17.11.2023.,41
22,vukovic_e,iphone 11 pro 64gb vz zg,Varaždinska,rabljeno,250,0996877541 mobitel je ocuvan i ispravan 100%. nema ostecenja ekrana kamera ili slicno. sve radi 76% zdravlje baterije moguce slanje pouzecem hp express24 po cijeloj hr kod njih mozete otvoriti paket i provjeriti ili oversease i slicno. moguce preuzimanje pon pet u zagrebu,42012873,17.11.2023.,305
23,Njokica222,hitno prodajem 310 eura ko prvi njegovo iphone 11pro rose gold,Splitsko-dalmatinska,rabljeno,300,hitno prodajem iphone 11 pro rose gold ocuvan skroz ko prvi njegovo kontakt broj 0981835038,42007926,16.11.2023.,95
24,Njokica222,hitno prodajem 300 eura ko prvi njegovo iphone 11pro rose gold,Splitsko-dalmatinska,rabljeno,300,iphone 11 pro rose gold hitno prodajem ko prvi njegovo dolazi sa kutijom i punjacem mobitel nije puno koristen kontakt broj 0981835038,42007892,16.11.2023.,102
25,pok1,iphone 11 pro 256gb,Varaždinska,rabljeno,400,iphone 11 pro 256gb ko novi sve radi ispravno bez stekanja. nema ogrebotina kaljeno stalko i maskica na mobitelu od prvog dana kad je kupljen. dolazi uz maskicu. baterija 69%,41422467,15.11.2023.,272
26,juraa77,iphone 11 pro 64gb,Osječko-baranjska,rabljeno,400,prodajem iphone 11 pro 64gb star 3 i pola godine. mobitel od prvog dana u maskici i sa zastitnim staklom. mobitel nema vidljivih znakova koristenja. zdravlje baterije na 93%. uz mobitel dolazi punjac. cijena nije fiksna.,41408127,14.11.2023.,287
27,kera2,iphone 11 pro 256gb ocuvano ,Grad Zagreb,rabljeno,310,prodajem iphone 11 pro 256gb. mobitel je ocuvan od prvog dana koristen u maskici i zastitnom staklu s vrlo malo znakova koristenja. baterija drzi ok. zamjenska baterija stavljena prije 6 mjeseci u icentru. mobitel radi super. cijena se da koregirati za ozbiljnog kupca. uz mobitel idu 4 maskice i novo zastitno staklo koje je stavljeno prije 2 dana. ne saljem postom lokacije gdje mobitel mozete vidjeti uzivo su zagreb zapad ili varazdin prodajem jer sam presao na 14plus. kutijicu vise nemam garancija vise ne vrijedi. zagreb pon sri sub i ned varazdin cet pet,41990702,14.11.2023.,399
28,Miska_11,apple iphone 11 pro,Istarska,rabljeno,200,mobitel je u dobrom stanju. zna se desiti da napise koje slovo sam te bi moj savjet bio da se ode samo malo pricvrstiti ekran iz razloga jer je zamjenjen. zdravlje baterije je na 72%. uz njega dobijete i maskicu,41010660,13.11.2023.,1097
29,dorsic2,iphone 11 pro 64gb kao novi space gray,Zagrebačka,rabljeno,280,bez crtice baterija 82%,41708854,13.11.2023.,464
30,pipi88,prilika iphone 11 pro midnight green 64 gb,Splitsko-dalmatinska,rabljeno,400,prodajem izvrsno ocuvan iphone 11 pro s 64 gb interne memorije. kapacitet baterije 80%. na mobitelu nema niti jedne ogrebotine sto je vidljivo iz slika.,41964811,12.11.2023.,64
31,babich007,iphone 11 pro 64gb,Grad Zagreb,rabljeno,299,ocuvan baterija 85% drzi odlicno. ne radi face id sve ostalo radi besprijekorno. prodaje se s kutijom bez punjaca. 092 336 26 35,41961876,11.11.2023.,498
32,racunalo123,iphone 11 pro 256gb,Grad Zagreb,rabljeno,310,iphone 11 pro 256gb rose gold boja prodajem. 79% zdravlje baterije. iphone je koristen ali sve na njemu radi perfektno. razlog prodaje jer sam kupio novi.,41940191,10.11.2023.,659
33,kus,iphone 11 pro 64gb,Grad Zagreb,rabljeno,250,prodajem iphone 11 pro star 3 godine u originalnom stanju. mobitel dolazi s originalnom kutijom,41936970,10.11.2023.,650
34,ZGpepo,iphone 11 pro 64gb green,Grad Zagreb,rabljeno,270,prodajem apple iphone 11 pro 64gb zelene boje otkljucan na sve mreze. dolazi sa svojom kutijom i kablom za punjenje. mobitel ima ogrebotinu na ekranu. zdravlje baterije je na 80%. cijena 270 091 520 5606,41922421,08.11.2023.,758
35,ZGpepo,iphone 11 pro 64gb green,Grad Zagreb,rabljeno,190,prodajem apple iphone 11 pro 64gb zelene boje zakljucan na stranu mrezu. prodaje se samo mobitel. mobitel ima vidljive ogrebotine po ekranu. zdravlje baterije je na 71%. cijena 190 091 520 5606,41922220,08.11.2023.,1057
36,moki16,apple iphone 11 pro 256 g kao novi bat. 94 %,Primorsko-goranska,rabljeno,400,prodajem iphone 11 pro od 256 g ocuvan kao novi baterija 94 % ,41912009,07.11.2023.,111
37,Novska Zalagaonica,iphone 11 pro 64gb s jamstvom kaljeno maska gratis,Sisačko-moslavačka,rabljeno,319, www.novskazalagaonica.com baterija 82% moguca je zamjena nove baterije u servisu koristeni artikl potpuno ispravan sto dolazi u paketu originalna kutija 2 maske kaljeno staklo gratis racun jamstveni list mogucnost zamjene za staro za novo vrijedi za sve nase oglase izdajemo r 1 racun. kao trosak poslovanja da pdv odbitak ne novska zalagaonica potocna ulica 22 novska email novskazalagaonica gmail.com tel 385 95 5757101 molimo ostavite poruku ako nas ne mozete dobiti telefon ,41889730,06.11.2023.,146
38,kresogs,iphone 11 pro 64gb,Ličko-senjska,rabljeno,300,prodajem iphone 11 pro 64gb boja space gray. zastitna naljepnica od pocetka na njemu tako da nema ogrebotina te zastitno staklo u vrijednosti 40 . navedeni mobitel u odlicnom stanju. cijena fixno 300 ne zanimaju me zamjene ni snizavanje cijene.,41876229,04.11.2023.,97
39,sanja280393,iphone 11 pro 64gb green,Splitsko-dalmatinska,rabljeno,320,kao nov nema ni jednog znaka koristenja baterija je na 84% svi djelovi su original. zamjene me ne zanimaju.,41815394,03.11.2023.,130
40,emmetbrown,apple iphone 11 pro 64gb,Grad Zagreb,rabljeno,349,stanje vidljivo na slikama vidljivo nekoliko ogrebotina na rubovima zadnja strana kao i ekran sacuvani 81% zdravlje baterije radi na sve mreze originalno stanje 64gb memorije sive boje. oprema kutija usb c lighting kabel papiri sim iglica zastitna silikonska maskica,41625228,01.11.2023.,667
41,Buki993,iphone 11 pro 64 gb,Karlovačka,rabljeno,265,prodajem iphone 11 pro u vrlo dobrom stanju. nigdje nije razbijen samo su coskovi malo ogrebani. stanje baterije 73%. od prvoga dana sa zastitnim staklom. sa mobitelom ide kabel za punjenje ali bez adaptera. cijena fixna. moze zamjena za garmix fenix 6.,41798161,01.11.2023.,217
42,Maremed,iphone 11 pro 256gb crni ocuvan kao nov bat. 88%,Splitsko-dalmatinska,rabljeno,430,iphone 11 pro 256gb crni space gray ocuvan kao nov zdravlje baterije 88% mobitel bez punjaca 450 mobitel sa punjacem 480 samo split trogir i omis ne saljem postom bez zamjena odgovaram samo na poziv ,36903172,31.10.2023.,2673
43,miha219,iphone 11 pro,Grad Zagreb,rabljeno,180,iphone 11 pro 64gb otkljucan na icloud sve radi odlicno no zadnje staklo je puknuto uz njega dolazi originalna kutija punjac bezicni punjac slusalice te 3 maskice tamno plava sa slike i 2 prozirne moze zamijena ali iskljucivo za iphone huawei ili samsung,41786950,31.10.2023.,1186
44,Lambada252,iphone 11 pro space grey 64gb,Grad Zagreb,rabljeno,360,iphone 11 pro space grey 64gb u odlicnom stanju bez ijedne ogrebotine zdravlje baterije 86%,41499400,30.10.2023.,528
45,andr7,iphone 11 pro 256 gb,Grad Zagreb,rabljeno,330,prodajem mobitel star 2 5 godine bez ostecenja. uredaj dolazi s kutijom i kablom. baterija 75%,41536824,29.10.2023.,578
46,ines2707,iphone 11 pro 256gb,Grad Zagreb,rabljeno,340,prodajem iphone 11 pro 256gb jer sam kupio novi mobitel.,41774581,29.10.2023.,205
47,nikki23,iphone 11 pro 256 gb rose gold,Grad Zagreb,rabljeno,380,prodajem iphone 11 pro 256 gb. imam kutiju i sve sto dolazi uz mobitel. mozda cak negdje i racun. mobitel koristen sa zastitnim staklom i s maskicom. preferiram primopredaju.,41546971,28.10.2023.,264
48,Novska Zalagaonica,iphone 11 pro 256gb nova baterija jamstvo r1 trgovina,Sisačko-moslavačka,rabljeno,369,web www.novskazalagaonica.com garancija 3 mj od kupnje u super stanju 10 10 potpuno ispravan i otkljucan na sve mreze mobitel bez traga koristenja ekran mijenjan na proslom je bilo nesto sitno tragova koristenja stavljena nova jaca baterija deji jamstvo 6 mj sto dolazi u paketu originalna kutija kabel 1 0m racun mogucnost kupnje zastitnog stakla i maske uz uredjaje mogucnost zamjene za staro za novo vrijedi za sve nase oglase izdajemo r 1 racun. kao trosak poslovanja da pdv odbitak ne novska zalagaonica potocna ulica 22 novska email novskazalagaonica gmail.com tel 385 95 5757101 molimo ostavite poruku ako nas ne mozete dobiti telefon web www.novskazalagaonica.com,41644365,13.10.2023.,247
