,advertiser,ad_title,location,condition,price,ad_description,ad_id,date_of_publishing,number_of_showings
10,iMOBILE,prodajem apple iphone 14 128gb sve mreze garancija,Vukovarsko-srijemska,rabljeno,699, imobile shop j.j.strossmayera 21 32000 vukovar kontakt broj 098 681 478 098 911 6590 prodajem apple iphone 14 128gb 96% zdravlje baterije kupljen kao slobodan uredjaj radi na sve mreze ocuvan boja starlight uz mobitel ide kutija usb kabal sim iglica garancija 3mj. racun cijena 699 00 5.266 62kn opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste do 12 rata navedena cijena je iskljucivo za gotovinsko placanje facebook.com imobile.vu instagram.com imobile.shop sve info na 098 681 478 098 911 6590,41997389,23.11.2023.,108
11,Brundo7,iphone 14 128gb vakum,Grad Zagreb,rabljeno,850,prodajem iphone 14 novo vakum 128gb crni garancija,42091171,23.11.2023.,15
12,iPhonezg55,iphone 14 128gb,Grad Zagreb,rabljeno,560,128gb memorije radi na sve mreze zdravlje baterije 93% originalna prodajem zbog kupnje novog iphonea,42047170,22.11.2023.,303
13,ARMANI0001,iphone 14 128 gb starlight garancija racun papiri,Splitsko-dalmatinska,rabljeno,710,prodajem ili mijenjam iphone 14 128 gb starlight. uredjaj jako malo koristen bijele boje baterija 100%. prvi vlasnik kao nov radi na sve mreze. uz njega ide kutija racun papiri garancija kabel maskica. garancija traje do 31.9.2024. godine. moze zamjena za iphone 15 blue uz moju nadoplatu. moguca dostava split kastela trogir makarska. cijena 710 telefon 385 97 6666 626,42078961,22.11.2023.,32
14,Sanmarko1991,apple iphone 14 128 gb top stanje 10 od 10 jamstvo na sve mreze radi,Osječko-baranjska,rabljeno,650,top stanje 10 od 10. mode 128 gb. na sve mreze radi. star 5 mjeseci racun i jamstvo telemach. baterija 97%.,42066756,22.11.2023.,41
15,feda,iphone 14 128,Istarska,rabljeno,700,mob je od 1 dana u naslovi kaljeno bez tragova koristenja garancije do 2 travnja poslikana.,41776326,22.11.2023.,82
16,ycadqe,iphone 14 midnight 256 gb,Međimurska,rabljeno,700,prodaje se iphone 14 midnight 256gb ocuvan bez ogrebotina garancija racun kupljen u t com centru otkljucan na sve mreze svi upiti u poruku moliml,41529617,22.11.2023.,462
17,ZALAGAONICA OTKUP.HR / Zalog-Prodaja-Otkup,iphone 14 midnight 128gb bat.100% kao novo r1 rate ,Grad Zagreb,rabljeno,750,prodajemo iphone 14 128gb. uredjaj je u odlicnom stanju bez tragova koristenja uredjaj dolazi u originalnoj kutiji s kabelom zdravlje baterije 100% boja midnight predmet mozete pogledati u nasoj trgovini u ilici 235. mogucnost placanja na rate mastercard visa rba do 12 rata te pbz maestro visa mastercard i visa premium karticama do 24 rate. navedene cijene su za gotovinsko placanje. mogucnost izdavanja r 1 racuna. dostava po cijeloj hrvatskoj u 72 sata. placanje prilikom preuzimanja. pouzecem . idealan poklon posjetite nasu njuskalo trgovinu ili posjetite www.otkup.hr zalagaonica otkup.hr ilica 78 ilica 235 takodjer posjetite nas instagram profil zalagaonica.otkup.hr i facebook otkup hr.zalog.otkup.prodaja sifra artikla c23999,42072599,22.11.2023.,64
18,manzzetta,iphone 14 white 128gb 90%,Virovitičko-podravska,rabljeno,619,prodajem iphone 14 bijele 128gb zdravlje baterije 90% kutija kabal garancija 01 24 star 10 mjeseci od prvog dana u maskici koju poklanjam uz mobitel moguca zamjena za jeftiniji mobitel prednost samsung cijena 620 eura ,42070589,22.11.2023.,25
19,Gucic06,iphone,Bjelovarsko-bilogorska,rabljeno,650,prodajem iphone 14 128gb 96zdravlje kao nov ocuvan uz njega ide kutija cijena nije fix za ozbiljne kupce ,42068583,21.11.2023.,38
20,Aplikacija_Vinkovci,apple iphone 14 92%,Vukovarsko-srijemska,rabljeno,680,jamstvo 3 mjeseca stanje uredjaja rabljeno boja na upit opcije placanja gotovina kartice moguce placanje na rate karticama pbz erste i zagrebace banke do 12 rata navedene cijene su iskljucivo za gotovinsko placanje moguce zamjene za skuplje i jeftinije izdavanje r1 racuna zastitna stakla 7 00 uv zastitna stakla 20 00 silikonske maske 6 00 preklopne torbice 10 00 obratite nam se za vise informacija 098 423 074 facebook.com aplikacijavk instagramcom aplikacija vinkovci dostava i nacin placanja placanje pri preuzimanju pouzecem uplata preko racuna osobno preuzimanje u poslovnici u vinkovcima aplikacija vinkovci,39108104,21.11.2023.,889
21,publicgymm,iphone 14 red 128gb,Varaždinska,rabljeno,619,prodajem iphone 14 red 128gb. mobitel je od prvog dana u kaljenom staklu i zastitnoj maskici bez znakova koristenja. zdravlje baterije 95% racun i garancija 24.11.2023 cijena uredjaja je fiksna kontakt broj 0953848010,42065507,21.11.2023.,33
22,tehno shop vinkovci,iphone 14 128gb 680 00,Vukovarsko-srijemska,rabljeno,680,star 5 mjeseci originalni racun kupljen u ht u boja crna baterija 99% garancija 12 mjeseci placanje karticama cijena za gotovinu dostava pouzecem,40501865,21.11.2023.,119
23,Malakarla,iphone 14 128gb plavi,Grad Zagreb,rabljeno,450,kao nov malo koristen malo ostecen ekran al sve u funkciji. kutija2 racun punjac 0922582625,42063612,21.11.2023.,173
24,smart_8888,apple iphone 14 128gb starlight midnight kao novi sve mreze 90%bat,Primorsko-goranska,rabljeno,600,apple iphone 14 128 gb starlight i mirnight odlicno ocuvani kao novi. cijena za jedan uredjaj zdravlje baterije starlight 90% midnight 91% rade na sve mreze. moze se pruzeti u rijeci ili prema dogovoru.,42023117,21.11.2023.,74
25,smart_8888,apple iphone 14 256gb starlight kao novi racun oprema sve mreze,Primorsko-goranska,rabljeno,670,apple iphone 14 256 gb starlight kao novi s racuno radi na sve mreze zdravlje baterije 89%. moze se preuzeti u rijeci ili saljemo dpd om.,41557832,21.11.2023.,624
26,MobiRi Store,iphone 14 blue 256gb rabljeni uredjaj trgovina racun r1 ,Primorsko-goranska,rabljeno,749, uredjaj iphone 14 pro max silver 128gb stanje 9 10 promo njuskalo cijena 749 karticna placanja 823 90 garancija 6 mj. brza dostava 24h osobno preuzimanje u poslovnici opcije placanja pouzecem gotovinski placate dostavnoj sluzbi kod preuzimanja narudzbe. po predracunu internet bankarstvom ili opcom uplatnicom kartice jednokratno i obrocno do 12 rate maestro visa mastercard 24 diners visa premium mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne vasa trgovina mobi ri store mail info mobiri.hr telefon 099 63 000 32 rijeka 51000 riva 6 robna kuca ri ,41679055,20.11.2023.,93
27,MobiRi Store,apple iphone 14 128gb midnigh 128gb rabljeni uredjaj trgovina racun r1 ,Primorsko-goranska,rabljeno,649, uredjaj iphone 14 128gb midnight stanje 9 10 promo njuskalo cijena 649 karticna placanja do 24 rata 718 90 garancija 6 mj. brza dostava 24h osobno preuzimanje u poslovnici opcije placanja pouzecem gotovinski placate dostavnoj sluzbi kod preuzimanja narudzbe. po predracunu internet bankarstvom ili opcom uplatnicom kartice jednokratno i obrocno do 12 rate maestro visa mastercard 24 diners visa premium mogucnost izdavanja r 1 racuna racun se izdaje prema posebnom postupku oporezivanja marze sukladno clanku 95. stavka 4. zakona o porezu na dodanu vrijednost nn br. 73 13 . pdv je sadrzan u cijeni a obracunava se na ostvarenu marzu. pravni subjekti iznos u trosak da odbitak poreza ne vasa trgovina mobi ri store mail info mobiri.hr telefon 099 63 000 32 rijeka 51000 riva 6 robna kuca ri ,41679002,20.11.2023.,195
28,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 128gb yellow zuti top novo novoo garancija zamjena da,Splitsko-dalmatinska,rabljeno,775, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 128gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386578,20.11.2023.,70
29,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 256gb starlight top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,830, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 256gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386571,20.11.2023.,90
30,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 256gb red crveni top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,830, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 256gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386568,20.11.2023.,63
31,aphr0dite,iphone 14 128gb baterija 93% stanje kao novo,Koprivničko-križevačka,rabljeno,650,prodajem iphone 14 128gb u odlicnom stanju bez i najmanjeg ostecenja. zdravlje baterije vidljivo na slikama. uz mobitel ide kutija i kabel. cijena je fiksna zamjene iskljucene. primopredaja koprivnica i okolica. moguce slanje postom. prvi kontakt pozeljno preko njuskalo poruka sms ili whatsapp.,42053439,20.11.2023.,60
32,Smart Doctor,apple iphone 14 128 gb rabljeno do 36 rata,Osječko-baranjska,rabljeno,655,uredjaj apple iphone 14 128 gb stanje uredjaja rabljeno baterija 98% pisana garancija uz svaki uredjaj mreze slobodan uredjaj cijena za gotovinu 655 00 cijena za kartice 825 00 svi rabljeni uredjaji su testirani ostecenja prikazana na slikama ukoliko postoje. garancija na polovne uredjaje moze biti tvornicka ukoliko uz uredjaj ide tvornicki racun ili 3 mjeseca garancija smart doctor servisa ukoliko uredjaj nema tvornicko jamstvo. mogucnost placanja na rate karticama erste diners do 36 rata visa premium do 12 rata u ponudi veliki izbor mobilnih telefona i dodatne opreme za mobilne telefone brzi servis mobilnih telefona brzo i efikasno rjesavamo sve probleme na mobilnim telefonima.,41487193,20.11.2023.,310
33,Circe_Gr33k,iphone 14 128gb kutija zdravlje baterije 93% ,Koprivničko-križevačka,rabljeno,649,koprivnica. zdravlje baterije 93% mobitelu tek istekla garancija ove godine u 10mj. kao nov. stanje 10 10. bijele boje. sa kutijom usb kablom. nema jednu tockicu 128gb,42034164,18.11.2023.,46
34,RSTDI,iphone 14 128mb white sa punjacom i maskom,Grad Zagreb,rabljeno,710,kao nov star 1. mjesec uz mobitel ide punjac dvije maske i zastitni staklo,41359956,18.11.2023.,1286
35,Zalagaonica Kvatrić,iphone 14 256gb,Grad Zagreb,rabljeno,700,odlicno stanje zdravlje baterije 94% lokacija trg eugena kvaternika 2 zagreb os ios 16 dimenzije 146.7 x 71.5 x 7.8 mm mm tezina 172 g zaslon 6.1 xdr oled super retina 1170 x 2532 memorija ram rom ram 6 gb rom 256 gb memorijska kartica ne povezivost 2g 3g 4g wifi usb 2.0 bluetooth 5.3 kamera glavna prednja glavna 12 mp 12 mp prednja 12 mp procesor a15 bionic 2x3.23 ghz avalanche 4x1.82 ghz blizzard baterija 3279 mah,41648709,16.11.2023.,1031
36,Usluge1569,iphone 14 128gb,Splitsko-dalmatinska,rabljeno,670,stanje 10 10 u maskici i zastitnom staklu od prvog dana moguca zamjena za s23 ultra kupljen u 5mj 2023,42009511,16.11.2023.,48
37,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 128gb bijeli top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,775, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 128gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386588,16.11.2023.,105
38,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 256gb blue plavi top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,830, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 256gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386567,16.11.2023.,46
39,smart13,iphone 14 128gb starlight,Primorsko-goranska,rabljeno,599,iphone 14 128gb starlight u odlicnom stanju bez ikakvih tragova koristenja od prvoga dana u zastitnoj maskici original kutija usb kabel zdravlje baterije na 91% zastitna maskica na poklon prodajem za 600 fiksno. zamjene iskljucene. tel. 098 160 3042,41505869,15.11.2023.,361
40,jazzkuki,apple iphone 14 128 midnight,Grad Zagreb,rabljeno,800,prodajem prakticki novi iphone 14 koristen 5 mjeseci. mobitel je u potpunosti ispravan battery life je na 100%. ima i garanciju na godinu dana. za vise upita pisite u inbox. zahvaljujem ,40449330,15.11.2023.,698
41,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 128gb red crveni top novo novoo garancija zamjena da ,Splitsko-dalmatinska,rabljeno,775, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 128gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386580,13.11.2023.,92
42,PRODAJA/OTKUP/ZAMJENA/ZALAGAONICA *Sve na jednom mjestu MixSHOP*,apple iphone 14 256gb yellow zuti top novo novoo garancija zamjena da,Splitsko-dalmatinska,rabljeno,830, sve na jednom mjestu mixshop prodaje se apple iphone 14 mobitel 6gb ram 256gb interna memorija 6.1 inca display 4k kamera kratko koristen i gotovo ne koristen mobitel perfektno stanje kao novo novoo sva originalna oprema tvornicki otkljucan na sve mreze svi nasi uredjaji su eu europski modeli garancija na sve nase uredjaje vrsimo i zamjenu staro za novo novo za staro i sve ostale kombinacije uz dogovorenu nasu ili vasu nadoplatu kontakt telefoni tel 1 00385 95 3 666 666 zbog problema sa mrezom na ovom broju trenutno nismo u mogucnosti odgovarati na telefonske pozive ali whatsapp i viber su uvijek dostupni tel 2 00387 63 066 666 ovaj broj je dostupan za sve tel. poziv whatsapp viber web stranica www.mixshop6.com facebook stranica mixshop instagram profil mixshop ljubuski vrsimo i slanje brzom postom placanje pri preuzimanju paketa. troskove dostave je potrebno uplatiti prije samog slanja paketa kao osiguranje da ce posiljka biti preuzeta naruceni proizvod placate pri preuzimanju. za narudzbu trebate ostaviti vase ime i prezime adresu broj telefona cjelokupnu ponudu pogledajte jednim klikom na svi oglasi ove trgovine ,41386566,13.11.2023.,56
43,r4xx1,iphone 14,Primorsko-goranska,rabljeno,600,prodajem navedeni uredaj baterija 90% bez crtice,41979330,13.11.2023.,81
44,barbara991,iphone 14 kao novo,Grad Zagreb,rabljeno,639,prodajem iphone 14 midnight 128 gb u odlicnom stanju 10 10 kutija i racun star godinu dana stanje baterije 95% od prvog dana zasticen kaljenim staklom i maskom,41929016,13.11.2023.,759
